run,timestep,Shue97_r_0,Shue97_a_0,Shue97_fit_loss,Shue97_grad_J_fit_over_ip,Shue97_delta_r_0,Shue97_time_taken_s,Liu12_r_0,Liu12_a_0,Liu12_a_1,Liu12_a_2,Liu12_d_n,Liu12_l_n,Liu12_s_n,Liu12_d_s,Liu12_l_s,Liu12_s_s,Liu12_fit_loss,Liu12_grad_J_fit_over_ip,Liu12_delta_r_0,Liu12_time_taken_s,Rolland25_r_0,Rolland25_a_0,Rolland25_a_1,Rolland25_a_2,Rolland25_d_n,Rolland25_l_n,Rolland25_s_n,Rolland25_d_s,Rolland25_l_s,Rolland25_s_s,Rolland25_e,Rolland25_fit_loss,Rolland25_grad_J_fit_over_ip,Rolland25_delta_r_0,Rolland25_time_taken_s
1,18000,9.77649,0.681289,2.21678,1.60941,2.61671,0.174278,10.5229,0.521565,-8.45797e-05,0.178429,5.73403,0.303944,0.483244,5.85214,0.314331,0.476352,1.12519,1.65446,3.36314,0.561022,8.65656,0.268284,-2.37545e-05,0.182655,3.64369,0.136147,2.23646,3.12467,0.211808,2.68273,0.413582,0.926704,1.61649,1.49679,1.49653
1,18300,9.81047,0.670737,2.4667,1.6704,2.65556,0.0438688,10.5107,0.509274,0.000142948,0.18702,5.81011,0.304845,0.468272,5.77452,0.304088,0.471448,1.23163,1.71612,3.35579,0.582897,8.67799,0.268724,0.000203127,0.190217,3.46021,0.212948,3.02005,3.32495,0.207631,2.89668,0.397602,1.04794,1.61988,1.52307,1.51623
1,18600,9.82033,0.665407,2.48649,1.70922,2.66671,0.0430057,10.5043,0.50271,0.000389605,0.190609,5.68827,0.279862,0.481512,5.47846,0.231318,0.515854,1.22671,1.74984,3.35071,0.448466,8.67451,0.263006,0.000461805,0.19319,3.81718,0.220653,3.60047,4.11647,0.131762,2.70425,0.396794,1.04718,1.63239,1.5209,1.56066
1,18900,9.86059,0.66149,2.18737,1.6934,2.70728,0.0453371,10.5217,0.506902,0.000254245,0.180995,5.32263,0.231308,0.529633,5.44125,0.239714,0.521338,1.10137,1.75681,3.36835,0.457919,8.65957,0.257612,0.00030671,0.1822,5.43688,0.223494,5.94527,0.524623,0.972126,10,0.410715,0.918297,1.57181,1.50626,1.6996
1,19200,9.88818,0.654765,2.1822,1.69879,2.73493,0.0427004,10.5437,0.503812,0.000409478,0.176667,2.94295,0.899311,0.32482,2.97083,0.903045,0.31945,1.10131,1.47207,3.39048,0.511742,8.64309,0.247761,0.000576134,0.177655,6,0.124024,4.74158,0,0.14498,0.1,0.421854,0.913546,1.63844,1.48983,1.50078
1,19500,9.90833,0.650846,2.17325,1.70859,2.75582,0.0471153,10.5618,0.499551,0.000238988,0.178677,2.96099,0.907682,0.326284,2.97026,0.91085,0.324649,1.06048,1.47995,3.4093,0.566414,8.70819,0.254417,-5.68066e-05,0.179181,0,0.585262,0.1,0.641613,1.01387,10,0.406025,0.887165,1.61528,1.55569,1.46515
1,19800,9.9523,0.646706,2.05005,1.69998,2.8021,0.0399423,10.6259,0.496888,7.95315e-05,0.176645,3.03417,0.91451,0.342194,3.01855,0.915887,0.346639,0.944955,1.47131,3.47575,0.702778,8.9104,0.297605,0.000300721,0.176987,0.948482,1.02621,8.5684,6,0.120409,5.07192,0.342109,0.816802,1.67161,1.76021,1.68788
1,20100,9.99558,0.643705,1.94037,1.71208,1.56341,0.0411706,10.6772,0.496559,0.00012242,0.17278,3.09186,0.957273,0.338567,3.07761,0.958754,0.340969,0.870405,1.48032,2.24506,0.759037,9.42073,0.351944,-6.32361e-06,0.174875,1.61049,1.02868,5.38645,1.60164,1.03223,5.29894,0.245071,0.776002,1.57276,0.988563,1.6518
1,20400,10.0683,0.638294,1.88834,1.70818,-0.0359472,0.046635,10.7415,0.496198,-7.25181e-05,0.168186,3.21275,0.964549,0.340747,3.19073,0.966467,0.343994,0.813228,1.51088,0.637253,0.823622,9.74564,0.379149,-0.000256533,0.170686,2.03857,1.02461,4.65593,2.01977,1.02801,4.54432,0.195489,0.745479,1.54681,-0.358589,1.45058
1,20700,10.122,0.635038,1.83327,1.7252,-0.682524,0.0416047,10.817,0.492637,0.000118653,0.167168,3.33849,0.969789,0.350339,3.30847,0.972492,0.351107,0.771157,1.53531,0.012472,0.80425,9.97461,0.381104,-5.01214e-06,0.17153,2.3517,1.02529,4.06416,2.32527,1.02908,4.00205,0.178092,0.710175,1.52036,-0.829905,1.34394
